state, max_price
Yukon Territory,3600.0
Ita-Suomen Laani,1200.0
Nordrhein-Westfalen,3600.0
Lorraine,1200.0
Vasterbotten,1200.0
AL,3600.0
Ile-de-France,3600.0
Kerry,1200.0
Provence-Alpes-Cote d'Azur,3600.0
Andhra Pradesh,1200.0
British Columbia,3600.0
RI,1200.0
Rio Grande do Sul,1200.0
Hainaut,1200.0
Vestfold,1200.0
Wales,3600.0
Neuchatel,1200.0
Chisinau,1200.0
Western Australia,3600.0
AK,3600.0
England,3600.0
Geneve,3600.0
Budapest,1200.0
AR,7500.0
SC,3600.0
Sao Paulo,7500.0
Mazowieckie,1200.0
,3600.0
CA,7500.0
Vestsjalland,1200.0
Frederiksborg,1200.0
Waterford,1200.0
Zug,3600.0
Haryana,1200.0
Kiev,1200.0
Zurich,3600.0
TX,7500.0
DE,1200.0
CT,1200.0
Hamburg,1200.0
Bacs-Kiskun,1200.0
AZ,3600.0
Oslo,3600.0
UT,7500.0
Noord-Brabant,1200.0
Franche-Comte,1200.0
Skane,3600.0
Prague,1200.0
Vienna,1200.0
Rhineland-Palatinate,1200.0
VI,3600.0
New South Wales,3600.0
CO,13000.0
Vaud,3600.0
East Bohemia,1200.0
Saarland,1200.0
South Australia,1200.0
Pomorskie,1200.0
FL,3600.0
Minas Gerais,1200.0
TN,7500.0
Luxembourg,1200.0
Northwest Territories,1200.0
Moscow City,3600.0
DC,3600.0
VT,3600.0
Krung Thep,3600.0
Tokyo,1200.0
Tuscany,1200.0
Antwerpen,1200.0
Quebec,1200.0
Scotland,3600.0
GA,3600.0
Andalucia,1200.0
Kilkenny,1200.0
Attiki,1200.0
Arhus,1200.0
Pays de la Loire,1200.0
Hessen,3600.0
Utrecht,3600.0
Guangdong,1200.0
Kuala Lumpur,1200.0
Kobenhavn,1200.0
Basel-Country,3600.0
Zuid-Holland,7500.0
Pest,1200.0
Brussels (Bruxelles),3600.0
Central Bohemia,3600.0
St Gallen,3600.0
Al Manamah,1200.0
Bucuresti,1200.0
Catalonia,3600.0
Rogaland,1200.0
Tipperary,1200.0
Groningen,1200.0
Aargau,3600.0
IA,1200.0
Taranaki,1200.0
Buskerud,1200.0
Gauteng,1200.0
HI,3600.0
KwaZulu-Natal,7500.0
WI,1200.0
ID,1200.0
Black River,3600.0
Saskatchewan,3600.0
Murcia,1200.0
Westmeath,1200.0
Madrid,1200.0
Uppsala,1200.0
WA,3600.0
Lazio,1200.0
Wicklow,1200.0
Istanbul,1200.0
IL,3600.0
Northern Ireland,1200.0
Freeport,1200.0
Saxony,1200.0
Louth,1200.0
Pais Vasco,1200.0
Sicilia,7500.0
Manitoba,1200.0
Alsace,1200.0
Victoria,3600.0
Riga,1200.0
Brittany,7500.0
Veneto,3600.0
Noord-Holland,3600.0
Virginia,1200.0
Sardinia,3600.0
Izmir,1200.0
Storstrom,1200.0
Bayern,3600.0
Limerick,1200.0
Thuringia,1200.0
VA,3600.0
Upper Normandy,1200.0
Hordaland,1200.0
LA,7500.0
Bohol,1200.0
Dubayy,3600.0
Guatemala,1200.0
Queensland,3600.0
Alberta,3600.0
Stara Zagora,1200.0
Soul-t'ukpyolsi,1200.0
MD,3600.0
Ceara,1200.0
MA,3600.0
KS,3600.0
MN,3600.0
Ostergotland,3600.0
Gelderland,3600.0
KY,1200.0
MI,3600.0
MT,1200.0
Sogn og Fjordane,1200.0
Tasmania,3600.0
Phuket,1200.0
Stockholm,3600.0
Schwyz,1200.0
MS,7500.0
Tel Aviv,1200.0
ME,1200.0
Buenos Aires,1200.0
Baden-Wurttemberg,1200.0
Lombardy,3600.0
New Providence,1200.0
NC,1200.0
Lower Saxony,3600.0
NJ,1200.0
Meath,7500.0
Ontario,3600.0
Berlin,1200.0
NV,1200.0
Rhone-Alpes,3600.0
MO,1200.0
NY,7500.0
Auckland,1200.0
PA,3600.0
Staden Kobenhavn,1200.0
Hamilton,1200.0
Mayo,1200.0
NH,1200.0
Abu Zaby,1200.0
OR,1200.0
Lower Austria,1200.0
Etela-Suomen Laani,1200.0
Distrito Nacional,1200.0
NE,1200.0
Dublin,3600.0
OH,1200.0
NM,1200.0
Heredia,1200.0
General Santos,1200.0
Ticino,3600.0
Santa Catarina,1200.0
IN,3600.0
Basel-Town,1200.0
Bern,3600.0
Tyrol,3600.0
Cork,3600.0
